"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:6AxCr5G75R5rqyNCYWVpTo","Higher","spotify:artist:6MF9fzBmfXghAz953czmBC, spotify:artist:4RVnAU35WRWra6OZ3CbbMA","Taio Cruz, Kylie Minogue","spotify:album:3h80tQ7iMvnWIE7EdtRhEm","Rokstarr (Special Edition)","1","10","187626","","2020-05-19T11:15:06Z"
"spotify:track:3Ei9s72xX2vqf2Wa678hs4","My Life Is a Party - R.I.O. Edit","spotify:artist:5nkYRuiIHg2xXHFC8bfosJ","ItaloBrothers","spotify:album:6SlLIzSUqIlDdDIwwYHlHv","My Life Is a Party","1","1","207790","","2020-05-18T14:04:01Z"
"spotify:track:4P2LXwm4QA4l7NwUvDAuMu","Final Fantasy","spotify:artist:5pVRwX5ZQR7hfJ18w8ZYkl","Ufo361","spotify:album:1jiFFWjN2ohOQoAOnesuNi","Final Fantasy","1","1","177989","","2020-05-17T10:38:02Z"
"spotify:track:7v8OynJxOxHoeS5C2UA9Y7","Nicht verdient","spotify:artist:4WZGDpNwrC0vNQyl9QzF7d, spotify:artist:2Im8m4STDBosjfmb5hmP80","Capital Bra, Loredana","spotify:album:0x7agz9XATuBItHpQyeD83","Nicht verdient","1","1","176952","","2020-05-16T07:45:51Z"
"spotify:track:5jrdCoLpJSvHHorevXBATy","Dark Horse","spotify:artist:6jJ0s89eD6GaHleKKya26X, spotify:artist:5gCRApTajqwbnHHPbr2Fpi","Katy Perry, Juicy J","spotify:album:5MQBzs5YlZlE28mD9yUItn","PRISM (Deluxe)","1","6","215672","","2020-05-15T16:58:08Z"
"spotify:track:3goH7O78TLkV9RhCAyM4AT","Fame","spotify:artist:1qQLhymHXFPtP5U8KNKsm6","Apache 207","spotify:album:5ANcyb7GrRVY6LZDZKZ72C","Fame","1","1","173760","","2020-05-15T08:09:49Z"
"spotify:track:24UgOPKL5S1vwzLwUtPsz7","WEISSER RAUCH","spotify:artist:1SnSPHBs8l5iAvoWF0aO05","FOURTY","spotify:album:0mvscafKzpawEArw3R55fF","WEISSER RAUCH","1","1","182924","","2020-05-14T13:41:22Z"
"spotify:track:7ytR5pFWmSjzHJIeQkgog4","ROCKSTAR (feat. Roddy Ricch)","spotify:artist:4r63FhuTkUYltbVAg5TQnk, spotify:artist:757aE44tKEUQEqRuT6GnEB","DaBaby, Roddy Ricch","spotify:album:623PL2MBg50Br5dLXC9E9e","BLAME IT ON BABY","1","7","181733","","2020-05-14T13:25:26Z"
"spotify:track:3zu4LFZ5qruUJwtDpCRQW4","Allein sein","spotify:artist:5pVRwX5ZQR7hfJ18w8ZYkl","Ufo361","spotify:album:4UUOJrs6MUmkshzvSbKpAg","Rich Rich","1","9","147353","","2020-05-04T14:50:39Z"
"spotify:track:4rD3luOvJQ9meRCBG7WPER","Final Fantasy","spotify:artist:5pVRwX5ZQR7hfJ18w8ZYkl","Ufo361","spotify:album:4UUOJrs6MUmkshzvSbKpAg","Rich Rich","1","5","177989","","2020-05-04T14:50:38Z"
